Date,Open,High,Low,Close,Volume
2015-07-01,99.9,99.9,99.9,99.9,0
2015-08-01,100.4,100.4,100.4,100.4,0
2015-09-01,100.5,100.5,100.5,100.5,0
2015-10-01,100.1,100.1,100.1,100.1,0
2015-11-01,100.1,100.1,100.1,100.1,0
2015-12-01,100.6,100.6,100.6,100.6,0
2016-01-01,101.1,101.1,101.1,101.1,0
2016-02-01,102.7,102.7,102.7,102.7,0
2016-03-01,102.2,102.2,102.2,102.2,0
2016-04-01,102.0,102.0,102.0,102.0,0
2016-05-01,101.6,101.6,101.6,101.6,0
2016-06-01,101.4,101.4,101.4,101.4,0
2016-07-01,101.6,101.6,101.6,101.6,0
2016-08-01,101.7,101.7,101.7,101.7,0
2016-09-01,102.4,102.4,102.4,102.4,0
2016-10-01,102.3,102.3,102.3,102.3,0
2016-11-01,102.4,102.4,102.4,102.4,0
2016-12-01,102.6,102.6,102.6,102.6,0
2017-01-01,103.7,103.7,103.7,103.7,0
2017-02-01,103.5,103.5,103.5,103.5,0
2017-03-01,103.2,103.2,103.2,103.2,0
2017-04-01,103.2,103.2,103.2,103.2,0
2017-05-01,103.3,103.3,103.3,103.3,0
2017-06-01,103.1,103.1,103.1,103.1,0
2017-07-01,103.0,103.0,103.0,103.0,0
2017-08-01,103.5,103.5,103.5,103.5,0
2017-09-01,104.1,104.1,104.1,104.1,0
2017-10-01,104.2,104.2,104.2,104.2,0
2017-11-01,104.2,104.2,104.2,104.2,0
2017-12-01,104.5,104.5,104.5,104.5,0
2018-01-01,105.2,105.2,105.2,105.2,0
2018-02-01,106.5,106.5,106.5,106.5,0
2018-03-01,105.3,105.3,105.3,105.3,0
2018-04-01,105.1,105.1,105.1,105.1,0
2018-05-01,104.9,104.9,104.9,104.9,0
2018-06-01,104.9,104.9,104.9,104.9,0
2018-07-01,105.2,105.2,105.2,105.2,0
2018-08-01,105.9,105.9,105.9,105.9,0
2018-09-01,106.6,106.6,106.6,106.6,0
2018-10-01,106.8,106.8,106.8,106.8,0
2018-11-01,106.4,106.4,106.4,106.4,0
2018-12-01,106.5,106.5,106.5,106.5,0
2019-01-01,107.0,107.0,107.0,107.0,0
2019-02-01,108.1,108.1,108.1,108.1,0
2019-03-01,107.7,107.7,107.7,107.7,0
2019-04-01,107.8,107.8,107.8,107.8,0
2019-05-01,107.8,107.8,107.8,107.8,0
2019-06-01,107.7,107.7,107.7,107.7,0
