Date,Open,High,Low,Close,Volume
2015-07-01,2.622499942779541,2.6419999599456787,2.615000009536743,2.635499954223633,942.0
2015-07-02,2.63949990272522,2.6449999809265137,2.628000020980835,2.634500026702881,630.0
2015-07-03,2.63949990272522,2.6449999809265137,2.628000020980835,2.634500026702881,630.0
2015-07-06,2.602499961853028,2.602499961853028,2.509999990463257,2.5429999828338623,1396.0
2015-07-07,2.5445001125335693,2.5445001125335693,2.390000104904175,2.450999975204468,919.0
2015-07-08,2.461999893188477,2.5195000171661377,2.4100000858306885,2.503999948501587,664.0
2015-07-09,2.5,2.594500064849853,2.5,2.558000087738037,660.0
2015-07-10,2.559999942779541,2.559999942779541,2.5364999771118164,2.5455000400543213,966.0
2015-07-13,2.547499895095825,2.559999942779541,2.506999969482422,2.555500030517578,561.0
2015-07-14,2.551500082015991,2.551500082015991,2.5285000801086426,2.5445001125335693,412.0
2015-07-15,2.569999933242798,2.569999933242798,2.510999917984009,2.5304999351501465,646.0
2015-07-16,2.5230000019073486,2.549000024795532,2.5199999809265137,2.531500101089477,458.0
2015-07-17,2.5350000858306885,2.5369999408721924,2.494999885559082,2.504499912261963,390.0
2015-07-20,2.490000009536743,2.494499921798706,2.4749999046325684,2.483999967575073,894.0
2015-07-21,2.510999917984009,2.5114998817443848,2.477499961853028,2.477499961853028,481.0
2015-07-22,2.450000047683716,2.450000047683716,2.43149995803833,2.43149995803833,378.0
2015-07-23,2.4100000858306885,2.430000066757202,2.362499952316284,2.385499954223633,598.0
2015-07-24,2.366499900817871,2.385999917984009,2.366499900817871,2.381500005722046,474.0
2015-07-27,2.383500099182129,2.384000062942505,2.3420000076293945,2.3505001068115234,499.0
2015-07-28,2.3480000495910645,2.408499956130981,2.3480000495910645,2.4030001163482666,565.0
2015-07-29,2.4100000858306885,2.4100000858306885,2.4030001163482666,2.407999992370605,543.0
2015-07-30,2.4184999465942383,2.4184999465942383,2.361000061035156,2.381500005722046,1104.0
2015-07-31,2.368499994277954,2.385999917984009,2.3545000553131104,2.367500066757202,749.0
2015-08-03,2.3499999046325684,2.359999895095825,2.3299999237060547,2.3475000858306885,964.0
2015-08-04,2.3399999141693115,2.370500087738037,2.3399999141693115,2.365000009536743,383.0
2015-08-05,2.352499961853028,2.358999967575073,2.352499961853028,2.3529999256134038,585.0
2015-08-06,2.3559999465942383,2.3635001182556152,2.345499992370605,2.3480000495910645,480.0
2015-08-07,2.3364999294281006,2.3464999198913574,2.3334999084472656,2.3415000438690186,276.0
2015-08-10,2.3480000495910645,2.4154999256134038,2.3480000495910645,2.407500028610229,282.0
