Date,Open,High,Low,Close,Volume
2015-07-01,2070.0,2070.0,2070.0,2070.0,0.0
2015-07-02,2072.5,2072.5,2072.5,2072.5,2.0
2015-07-03,2072.5,2072.5,2072.5,2072.5,2.0
2015-07-06,2026.0,2035.0,2026.0,2035.0,2.0
2015-07-07,1991.0,1991.0,1962.5,1962.5,1.0
2015-07-08,2007.5,2007.5,2007.5,2007.5,0.0
2015-07-09,2032.5,2032.5,2032.5,2032.5,0.0
2015-07-10,2019.5,2035.0,2019.5,2035.0,30.0
2015-07-13,2077.5,2077.5,2077.5,2077.5,0.0
2015-07-14,2080.0,2080.0,2080.0,2080.0,0.0
2015-07-15,2102.5,2102.5,2102.5,2102.5,0.0
2015-07-16,2096.0,2096.0,2095.5,2095.5,1.0
2015-07-17,2087.5,2087.5,2087.5,2087.5,0.0
2015-07-20,2066.0,2075.0,2066.0,2075.0,2.0
2015-07-21,2072.5,2072.5,2059.0,2059.0,1.0
2015-07-22,2026.0,2026.0,2026.0,2026.0,0.0
2015-07-23,2006.0,2006.0,2006.0,2006.0,0.0
2015-07-24,2000.0,2000.0,2000.0,2000.0,1.0
2015-07-27,1965.0,1965.0,1956.5,1956.5,3.0
2015-07-28,1980.5,2000.0,1980.5,2000.0,2.0
2015-07-29,1990.0,1990.0,1990.0,1990.0,0.0
2015-07-30,1972.5,1972.5,1972.5,1972.5,0.0
2015-07-31,1940.0,1940.0,1940.0,1940.0,0.0
2015-08-03,1921.0,1921.0,1921.0,1921.0,0.0
2015-08-04,1943.0,1948.0,1937.0,1937.0,47.0
2015-08-05,1915.5,1915.5,1915.5,1915.5,0.0
2015-08-06,1890.0,1890.0,1890.0,1890.0,0.0
2015-08-07,1881.0,1881.0,1881.0,1881.0,0.0
2015-08-10,1908.5,1910.0,1908.5,1910.0,2.0
2015-08-11,1830.0,1830.0,1830.0,1830.0,0.0
2015-08-12,1829.5,1850.0,1829.5,1850.0,20.0
2015-08-13,1850.0,1850.0,1850.0,1850.0,0.0
2015-08-14,1850.0,1850.0,1850.0,1850.0,0.0
2015-08-17,1835.0,1835.0,1835.0,1835.0,0.0
2015-08-18,1785.5,1785.5,1785.5,1785.5,0.0
2015-08-19,1809.0,1809.0,1805.0,1805.0,20.0
2015-08-20,1840.0,1840.0,1837.5,1837.5,1.0
2015-08-21,1782.5,1782.5,1782.5,1782.5,0.0
2015-08-24,1733.0,1733.0,1733.0,1733.0,0.0
2015-08-25,1753.0,1753.0,1753.0,1753.0,0.0
2015-08-26,1723.0,1723.0,1702.5,1702.5,4.0
2015-08-27,1762.5,1762.5,1762.5,1762.5,0.0
2015-08-28,1820.5,1822.5,1814.0,1822.5,25.0
2015-08-31,1822.5,1822.5,1822.5,1822.5,0.0
2015-09-01,1822.5,1822.5,1822.5,1822.5,0.0
2015-09-02,1832.5,1832.5,1832.5,1832.5,0.0
